zw_uni_cvec,zw_uni_tvec,f_uni_cvec,f_uni_tcvec
plastic,plastic,just,just
use,use,like,like
like,waste,don,money
waste,like,money,don
just,just,ve,buy
ve,ve,buy,car
don,don,time,ve
know,know,use,use
want,want,need,good
make,bags,new,new
really,make,want,need
buy,good,good,time
new,buy,know,want
people,really,car,know
good,looking,make,looking
need,new,really,food
water,water,year,cheap
using,does,looking,make
bags,food,way,really
things,ideas,food,year
food,products,work,way
looking,reusable,month,save
products,using,cheap,best
does,need,things,month
time,things,used,free
used,paper,save,used
paper,people,years,things
way,used,free,work
reusable,soap,home,tips
ideas,hair,people,home
help,help,best,does
lot,old,going,buying
think,way,pay,phone
work,shampoo,cost,going
trying,time,lot,price
old,lot,buying,years
soap,thanks,got,people
free,free,price,pay
store,trying,think,spend
hair,work,day,help
better,think,does,lot
feel,suggestions,live,cost
thanks,store,help,got
going,bottles,house,live
love,recycling,spend,day
packaging,packaging,ll,think
buying,love,old,worth
shampoo,best,better,house
recycling,better,phone,advice
bottles,sustainable,store,expensive
away,bar,expensive,thanks
best,feel,getting,store
sustainable,buying,using,water
suggestions,bulk,long,getting
try,going,worth,better
years,friendly,tips,old
tried,hi,feel,items
stuff,containers,10,insurance
sure,tips,water,stuff
got,wondering,sure,using
year,away,bought,card
small,glass,advice,week
hi,recommendations,stuff,ll
glass,tried,week,long
bag,bag,little,place
items,reduce,items,trying
bulk,items,right,feel
making,low,months,budget
friendly,eco,place,cheaper
containers,stuff,trying,online
little,sure,thanks,10
home,got,insurance,sure
reduce,making,cheaper,apartment
getting,trash,online,amazon
live,guys,card,ideas
low,recycle,plan,plan
bar,small,great,bought
trash,try,life,moving
great,home,budget,months
doesn,getting,small,living
day,year,living,little
wondering,live,apartment,saving
tips,little,family,right
thing,ones,pretty,wondering
doing,years,20,grocery
eco,clothes,50,clothes
long,doesn,spending,small
life,start,amazon,rent
come,wash,saving,cheapest
ones,bars,job,spending
local,coffee,able,life
clothes,advice,credit,credit
right,great,doesn,50
ll,alternative,did,great
wash,compost,bit,family
started,bottle,love,gift
product,thing,rent,love
bought,day,look,suggestions
recycle,throw,doing,quality
thought,alternatives,grocery,pretty
recommendations,options,moving,job
start,product,paying,20
pretty,clean,thing,guys
guys,thank,having,thinking
hand,life,clothes,look
instead,idea,actually,doesn
idea,doing,maybe,able
bottle,bought,ideas,eat
single,come,amp,paying
clean,started,big,thing
recently,reuse,days,hi
advice,cleaning,100,doing
actually,recently,away,currently
place,hand,try,possible
thank,local,making,deal
options,long,didn,gas
maybe,thought,recently,bit
throw,pretty,thinking,having
coffee,right,usually,did
possible,conditioner,currently,savings
compost,thinking,quality,100
having,option,brand,maybe
bit,online,room,away
week,single,eat,days
cleaning,jars,wondering,big
thinking,recycled,deal,stores
option,ll,end,brand
big,instead,savings,amp
recycled,oil,high,recently
alternative,place,gas,prices
alternatives,possible,thought,actually
oil,hello,possible,room
bars,laundry,purchase,app
environment,toothpaste,stores,thank
reuse,produce,probably,purchase
cup,brand,cash,usually
bad,question,start,try
produce,brands,nice,cash
isn,grocery,gift,making
online,actually,let,service
able,stores,wanted,high
brand,having,costs,shopping
change,maybe,30,thought
post,bit,instead,start
didn,company,cheapest,furniture
house,pads,hi,options
hard,bad,guys,mattress
jars,razor,different,instead
question,cup,prices,didn
let,house,ago,end
company,ways,extra,deals
family,isn,suggestions,sale
end,environment,post,costs
grocery,big,service,idea
stores,hard,paid,nice
did,hey,working,recommendations
hello,family,say,extra
problem,week,low,post
share,deodorant,bad,tried
comes,bamboo,isn,ways
laundry,able,started,wanted
look,thoughts,shopping,option
impact,skin,option,ones
wanted,post,idea,probably
brands,cut,check,ago
conditioner,towels,options,bed
cut,dry,area,paid
kind,comes,tried,low
ways,container,account,sell
currently,end,15,groceries
different,kind,add,let
care,wasteful,thank,experience
non,let,sell,working
skin,wanted,app,shop
dry,currently,said,cards
bring,didn,friends,meal
wasteful,shop,won,discount
container,look,local,account
interested,cloth,gt,friends
probably,change,come,area
money,uses,couple,30
far,washing,times,air
hey,care,experience,cut
shop,share,ones,costco
thoughts,experience,person,isn
amp,non,sale,say
community,area,set,bad
months,cups,cut,bulk
pads,lifestyle,half,hello
area,body,saved,tv
cups,metal,far,couple
cloth,amp,shop,started
razor,gift,company,saved
towels,bring,went,internet
companies,milk,25,15
makes,shopping,order,won
living,did,air,check
toothpaste,interested,share,christmas
lifestyle,switch,meal,come
experience,toilet,kind,local
